K,TM6,TM41,TM73,TM108,TM141,avg_mlu,avg_quality_pct_of_best
1,1.4819,1.4689,1.0733,0.8164,0.9960,1.1673,49.50
2,1.0284,1.0440,0.5777,0.5771,0.5050,0.7464,79.65
3,0.8489,0.8762,0.5307,0.4736,0.4910,0.6441,90.85
4,0.8043,0.6106,0.5194,0.4716,0.4730,0.5758,99.18
5,0.8043,0.6103,0.5194,0.4685,0.4630,0.5731,99.74
6,0.8043,0.6103,0.5193,0.4685,0.4600,0.5725,99.87
7,0.8043,0.6103,0.5193,0.4686,0.4590,0.5723,99.91
8,0.8043,0.6103,0.5194,0.4687,0.4620,0.5729,99.77
10,0.8043,0.6103,0.5193,0.4694,0.4610,0.5729,99.79
12,0.8043,0.6103,0.5194,0.4690,0.4570,0.5720,99.97
15,0.8043,0.6103,0.5195,0.4701,0.4650,0.5738,99.58
20,0.8082,0.6149,0.5267,0.4750,0.4670,0.5784,98.77
best,0.8043,0.6103,0.5193,0.4685,0.4570,0.5719,100.00
LP_bound,0.8043,0.6103,0.5193,0.4676,0.4536,0.5710,
