tm,split,total_demand_mbps,sp_mlu,lp_mlu,ilp_mlu
0,train,1480.7,0.7965,0.4657,0.4696
1,train,1687.7,1.1358,0.5863,0.5879
2,train,1792.9,1.3776,0.5537,0.5609
3,train,1975.1,1.224,0.6386,0.6406
4,train,2255.7,1.7063,0.7737,0.7749
5,other,2098.7,1.4027,0.6806,0.6837
6,test,2317.3,1.4819,0.8043,0.8082
7,train,2034.8,1.5871,0.7001,0.7097
8,other,2204.9,1.5383,0.724,0.7377
9,train,1996.4,1.5164,0.657,0.6649
10,other,1861.8,1.2696,0.6576,0.6594
11,train,1642.3,1.1972,0.5189,0.5279
12,train,1571.1,1.2043,0.5224,0.5382
13,train,1547.3,1.0113,0.522,0.5279
14,train,1618.1,1.0991,0.5129,0.5192
15,other,1757.5,1.041,0.577,0.5856
16,train,1742.9,1.0383,0.5269,0.5287
17,train,1639.8,1.1162,0.4878,0.4963
18,other,1694.0,1.046,0.5731,0.5852
19,train,1591.0,1.0871,0.4669,0.476
20,other,1737.8,1.0043,0.52,0.5336
21,other,1679.2,1.1894,0.4801,0.4985
22,train,1693.1,1.2759,0.5086,0.5209
23,train,1644.9,1.1581,0.5386,0.5417
24,other,1594.4,1.0852,0.5071,0.5102
25,train,1753.0,1.1538,0.5405,0.5452
26,train,1855.2,1.2336,0.5817,0.5858
27,other,1919.2,1.4559,0.6148,0.6185
28,train,1962.4,1.4299,0.6602,0.6708
29,train,2013.2,1.2839,0.6565,0.6587
30,train,2075.5,1.4221,0.745,0.7534
31,train,2062.6,1.4874,0.6981,0.7108
32,other,2184.8,1.5734,0.8417,0.842
33,train,1954.0,1.4164,0.7107,0.7111
34,other,1951.0,1.4705,0.7106,0.7114
35,train,1827.8,1.2778,0.6052,0.6189
36,train,1512.6,1.2134,0.5798,0.5812
37,other,1508.5,0.9519,0.5199,0.5211
38,train,1735.3,1.0027,0.5033,0.5175
39,other,1627.0,1.1203,0.5018,0.5162
40,train,1712.8,1.0485,0.5474,0.5585
41,test,1663.5,1.4689,0.6103,0.6149
42,train,1679.2,1.389,0.5906,0.591
43,train,1633.2,1.3152,0.5554,0.5656
44,train,1717.2,1.2526,0.6379,0.642
45,other,1610.2,1.0561,0.5376,0.5393
46,other,1700.5,1.0069,0.5165,0.5297
