tm,split,total_demand_mbps,sp_mlu,lp_mlu,ilp_mlu
0,train,279.0,1.1818,0.7766,0.8185
1,train,291.8,1.1606,0.7986,0.7986
2,train,272.3,1.1253,0.7865,0.7865
3,test,264.6,1.0266,0.8016,0.8016
4,train,246.1,0.8626,0.7759,0.776
7,train,233.2,0.8854,0.7226,0.7226
8,train,220.1,0.8626,0.7184,0.7184
9,train,205.6,0.8747,0.6637,0.6637
10,test,199.1,0.8417,0.6403,0.6403
11,train,194.7,0.797,0.6151,0.6151
12,test,187.2,0.796,0.5847,0.5848
13,train,176.1,0.7637,0.5566,0.5566
14,test,167.2,0.7447,0.514,0.5141
15,train,161.5,0.6588,0.5128,0.5128
17,train,173.7,0.6776,0.5472,0.5472
19,train,200.1,0.7744,0.6178,0.6178
20,train,218.8,0.9087,0.6979,0.6979
21,test,214.8,0.8543,0.6872,0.6872
22,train,209.6,0.8476,0.698,0.698
23,train,221.4,0.8174,0.7312,0.7312
