[0.997293, 0.997323, 0.997346, 0.997354, 0.997355, 0.997325, 0.997292, 0.997306]
[0.997304, 0.997332, 0.997352, 0.997362, 0.997358, 0.997332, 0.997303, 0.997317]
[0.997311, 0.997336, 0.997354, 0.997363, 0.997362, 0.997337, 0.99731, 0.997324]
[0.997304, 0.99733, 0.997354, 0.997367, 0.997367, 0.997338, 0.997308, 0.99732]
[0.997302, 0.997328, 0.997351, 0.997368, 0.997365, 0.997337, 0.997304, 0.997319]
[0.997301, 0.997326, 0.99735, 0.997365, 0.997365, 0.997336, 0.997305, 0.997317]
[0.997298, 0.997323, 0.997348, 0.997365, 0.997365, 0.997334, 0.997301, 0.997315]
[0.997297, 0.997322, 0.997348, 0.997363, 0.997366, 0.997334, 0.997302, 0.997314]
[0.997296, 0.997322, 0.997348, 0.997364, 0.997363, 0.997336, 0.997304, 0.997312]
[0.997297, 0.997321, 0.997345, 0.997364, 0.997363, 0.997333, 0.997301, 0.997314]
[0.997297, 0.997322, 0.997347, 0.997362, 0.997363, 0.997335, 0.997305, 0.997315]
[0.997296, 0.99732, 0.997345, 0.997364, 0.997364, 0.997334, 0.997301, 0.997315]
[0.997296, 0.997322, 0.997347, 0.997362, 0.997363, 0.997333, 0.997301, 0.997313]
[0.997297, 0.997322, 0.997346, 0.997361, 0.997361, 0.99733, 0.997302, 0.997313]
[0.997297, 0.997321, 0.997345, 0.997362, 0.997362, 0.997334, 0.997304, 0.997312]
[0.997297, 0.997321, 0.997346, 0.997362, 0.997364, 0.997333, 0.997302, 0.997314]
[0.997297, 0.997321, 0.997345, 0.997363, 0.997364, 0.997335, 0.997303, 0.997314]
[0.997296, 0.997319, 0.997346, 0.997364, 0.997364, 0.997333, 0.997303, 0.997312]
[0.997296, 0.99732, 0.997345, 0.997363, 0.997364, 0.997334, 0.997303, 0.997314]
[0.997297, 0.997321, 0.997346, 0.997361, 0.997362, 0.997335, 0.997303, 0.997314]
[0.997297, 0.997322, 0.997346, 0.997362, 0.997363, 0.997333, 0.997303, 0.997315]
[0.997298, 0.997323, 0.997348, 0.997362, 0.997365, 0.997334, 0.997302, 0.997314]
[0.997298, 0.997324, 0.997348, 0.997363, 0.997363, 0.997333, 0.997304, 0.997315]
[0.997297, 0.997322, 0.997347, 0.997363, 0.997362, 0.997333, 0.997301, 0.997312]
[0.997297, 0.997323, 0.997348, 0.997365, 0.997364, 0.997334, 0.997302, 0.997313]
[0.997297, 0.997322, 0.997347, 0.997363, 0.997363, 0.997336, 0.997303, 0.997313]
[0.997297, 0.997321, 0.997347, 0.997362, 0.997363, 0.997334, 0.9973, 0.997313]
[0.997297, 0.997321, 0.997348, 0.997365, 0.997364, 0.997333, 0.997302, 0.997314]
[0.997296, 0.997322, 0.997346, 0.997363, 0.997363, 0.997334, 0.997301, 0.997314]
[0.997297, 0.997322, 0.997349, 0.997363, 0.997364, 0.997333, 0.9973, 0.997312]
[0.997297, 0.997322, 0.997348, 0.997364, 0.997364, 0.997334, 0.997303, 0.997314]
[0.997297, 0.997321, 0.997348, 0.997361, 0.997365, 0.997334, 0.997301, 0.997314]
[0.997297, 0.997321, 0.997347, 0.997362, 0.997363, 0.997334, 0.997303, 0.997315]
[0.997297, 0.99732, 0.997345, 0.997362, 0.997361, 0.997332, 0.997301, 0.997314]
[0.997296, 0.997321, 0.997347, 0.997363, 0.997362, 0.997333, 0.997301, 0.997313]
[0.997296, 0.99732, 0.997346, 0.997362, 0.997364, 0.997333, 0.997301, 0.997313]
[0.9973, 0.997326, 0.997347, 0.997358, 0.997358, 0.99733, 0.997299, 0.997315]
[0.9973, 0.997326, 0.99735, 0.997362, 0.997363, 0.997334, 0.997303, 0.997317]
[0.9973, 0.997325, 0.997349, 0.997361, 0.997362, 0.997334, 0.997306, 0.997316]
[0.9973, 0.997326, 0.99735, 0.997364, 0.997363, 0.997334, 0.997304, 0.997315]
[0.9973, 0.997325, 0.997349, 0.997363, 0.997363, 0.997335, 0.997305, 0.997317]
[0.997298, 0.997324, 0.997346, 0.997361, 0.997363, 0.997336, 0.997303, 0.997315]
[0.997298, 0.997322, 0.997348, 0.997362, 0.997362, 0.997336, 0.997305, 0.997314]
[0.997297, 0.997322, 0.997348, 0.997364, 0.997363, 0.997333, 0.997301, 0.997311]
[0.997297, 0.997322, 0.997346, 0.997364, 0.997364, 0.997334, 0.997302, 0.997314]
[0.997297, 0.997321, 0.997344, 0.997361, 0.997363, 0.997335, 0.997304, 0.997314]
[0.997298, 0.997322, 0.997346, 0.997363, 0.997365, 0.997335, 0.997302, 0.997313]
[0.997296, 0.997322, 0.997344, 0.997362, 0.997362, 0.997335, 0.997304, 0.997314]
[0.997296, 0.997321, 0.997346, 0.997362, 0.997363, 0.997333, 0.997301, 0.997313]
[0.997296, 0.997322, 0.997345, 0.99736, 0.997362, 0.997333, 0.9973, 0.997311]
[0.997298, 0.99732, 0.997344, 0.99736, 0.997362, 0.997335, 0.997304, 0.997313]
[0.997297, 0.997321, 0.997346, 0.997359, 0.997363, 0.997336, 0.997303, 0.997313]
[0.997297, 0.997321, 0.997345, 0.99736, 0.997361, 0.997333, 0.997302, 0.997311]
[0.997297, 0.997321, 0.997346, 0.997363, 0.997361, 0.997332, 0.997301, 0.997314]
[0.997297, 0.997322, 0.997345, 0.997363, 0.997366, 0.997335, 0.997303, 0.997312]
[0.997298, 0.997321, 0.997346, 0.997362, 0.997363, 0.997334, 0.997303, 0.997313]
[0.997297, 0.997321, 0.997346, 0.997362, 0.997363, 0.997335, 0.997302, 0.997314]
[0.997296, 0.997321, 0.997345, 0.997362, 0.997362, 0.997333, 0.9973, 0.997311]
[0.997297, 0.997322, 0.997346, 0.997363, 0.997362, 0.997333, 0.997302, 0.997313]
[0.997298, 0.997322, 0.997346, 0.997363, 0.997363, 0.997334, 0.997304, 0.997314]
[0.997298, 0.997323, 0.997347, 0.997362, 0.997364, 0.997334, 0.997303, 0.997314]
[0.997298, 0.997323, 0.997348, 0.997363, 0.997363, 0.997334, 0.997303, 0.997315]
[0.997297, 0.997322, 0.997347, 0.997363, 0.997364, 0.997333, 0.997303, 0.997314]
[0.997296, 0.997321, 0.997345, 0.997361, 0.997361, 0.997334, 0.997302, 0.997312]
[0.997295, 0.99732, 0.997346, 0.997363, 0.997361, 0.997331, 0.9973, 0.997312]
[0.997296, 0.99732, 0.997344, 0.997361, 0.997361, 0.99733, 0.9973, 0.997312]
[0.997297, 0.997322, 0.997347, 0.997363, 0.997364, 0.997333, 0.997304, 0.997315]
[0.997294, 0.997319, 0.997344, 0.99736, 0.997363, 0.997335, 0.9973, 0.997309]
[0.997289, 0.997311, 0.997338, 0.997359, 0.997362, 0.997333, 0.997299, 0.997306]
[0.997281, 0.997299, 0.99733, 0.997354, 0.99736, 0.997329, 0.997291, 0.997291]
[0.997267, 0.997283, 0.997319, 0.997347, 0.997355, 0.997323, 0.997278, 0.997277]
[0.997248, 0.99726, 0.997301, 0.997338, 0.997348, 0.997312, 0.997259, 0.997252]
[0.99723, 0.997238, 0.997283, 0.997324, 0.997336, 0.9973, 0.997242, 0.997227]
[0.997206, 0.99721, 0.997262, 0.997309, 0.997325, 0.997287, 0.99722, 0.997199]
[0.997173, 0.997173, 0.997235, 0.997293, 0.997312, 0.997272, 0.997192, 0.997159]
[0.997136, 0.99713, 0.9972, 0.997269, 0.997293, 0.997249, 0.99716, 0.99712]
[0.997091, 0.997081, 0.99716, 0.997239, 0.997271, 0.997221, 0.99712, 0.997073]
[0.997043, 0.997028, 0.997115, 0.997207, 0.997242, 0.997189, 0.997075, 0.997017]
[0.99699, 0.996971, 0.997067, 0.997169, 0.99721, 0.997153, 0.997029, 0.996961]
[0.996933, 0.996908, 0.997012, 0.997127, 0.997172, 0.997109, 0.996972, 0.996898]
[0.996868, 0.99684, 0.996953, 0.997078, 0.997129, 0.997063, 0.99691, 0.996827]
[0.996798, 0.996766, 0.996885, 0.997021, 0.997079, 0.997007, 0.996846, 0.996752]
[0.99672, 0.996684, 0.996812, 0.996959, 0.997021, 0.996946, 0.996769, 0.996672]
[0.996636, 0.996597, 0.996733, 0.996893, 0.996959, 0.996877, 0.996688, 0.996583]
[0.996533, 0.996491, 0.996637, 0.996809, 0.996881, 0.996791, 0.99659, 0.996478]
[0.996431, 0.996387, 0.99654, 0.996722, 0.996799, 0.996706, 0.996489, 0.996372]
[0.996314, 0.99627, 0.996429, 0.996623, 0.996706, 0.996604, 0.996376, 0.996254]
[0.996179, 0.996135, 0.996305, 0.996509, 0.996594, 0.996485, 0.996243, 0.996117]
[0.996038, 0.995992, 0.996169, 0.996385, 0.996475, 0.996359, 0.996105, 0.995973]
[0.995878, 0.99583, 0.996018, 0.996243, 0.996337, 0.996213, 0.995946, 0.995811]
[0.995699, 0.995652, 0.995848, 0.996084, 0.996183, 0.99605, 0.995769, 0.99563]
[0.995516, 0.995468, 0.995671, 0.995917, 0.99602, 0.995882, 0.995588, 0.995442]
[0.995307, 0.995261, 0.995473, 0.995731, 0.995835, 0.995687, 0.995381, 0.995232]
[0.995087, 0.99504, 0.995259, 0.995525, 0.995634, 0.995477, 0.995161, 0.99501]
[0.99485, 0.994806, 0.995031, 0.995305, 0.995415, 0.995251, 0.994924, 0.994773]
[0.994601, 0.994558, 0.994789, 0.995071, 0.995183, 0.995012, 0.994675, 0.994524]
[0.994344, 0.994303, 0.994539, 0.994826, 0.99494, 0.994762, 0.994419, 0.994265]
[0.99408, 0.994037, 0.994279, 0.994572, 0.994688, 0.994506, 0.994155, 0.993996]
[0.993808, 0.993765, 0.99401, 0.994311, 0.994431, 0.994246, 0.993885, 0.993721]
[0.993533, 0.993487, 0.993737, 0.994044, 0.994171, 0.993982, 0.993608, 0.99344]
[0.993257, 0.993206, 0.993459, 0.993775, 0.993907, 0.993715, 0.993333, 0.993156]
[0.99297, 0.992914, 0.993171, 0.993496, 0.993637, 0.993443, 0.993049, 0.992861]
[0.99267, 0.992608, 0.992872, 0.993206, 0.993353, 0.993157, 0.992751, 0.992554]
[0.99236, 0.99229, 0.99256, 0.992911, 0.993066, 0.992868, 0.992447, 0.992236]
[0.992043, 0.991964, 0.992245, 0.992617, 0.992786, 0.992581, 0.992133, 0.991907]
[0.991703, 0.991615, 0.991908, 0.992296, 0.992477, 0.992269, 0.991801, 0.991557]
[0.991351, 0.991251, 0.991554, 0.991965, 0.992165, 0.99195, 0.991455, 0.991188]
[0.990985, 0.990872, 0.991192, 0.991627, 0.991841, 0.99162, 0.991099, 0.990812]
[0.99061, 0.990491, 0.990835, 0.9913, 0.991526, 0.991289, 0.990732, 0.99043]
[0.990229, 0.990103, 0.99047, 0.990967, 0.99121, 0.990956, 0.990364, 0.99004]
[0.989844, 0.989707, 0.990098, 0.990629, 0.990888, 0.990622, 0.989991, 0.989644]
[0.989455, 0.989311, 0.989725, 0.990287, 0.990562, 0.990281, 0.989614, 0.989246]
[0.98906, 0.988914, 0.989351, 0.989939, 0.99022, 0.98992, 0.989226, 0.988849]
[0.98865, 0.988495, 0.988958, 0.989579, 0.989875, 0.989564, 0.988829, 0.988431]
[0.988236, 0.988077, 0.988567, 0.989219, 0.989526, 0.989194, 0.988425, 0.988009]
[0.987817, 0.987657, 0.98817, 0.988848, 0.989164, 0.988812, 0.988013, 0.987585]
[0.987375, 0.987218, 0.987758, 0.988463, 0.988787, 0.988411, 0.987576, 0.987142]
[0.986915, 0.98676, 0.987328, 0.988059, 0.988392, 0.987995, 0.987125, 0.986679]
[0.986443, 0.986291, 0.986883, 0.987642, 0.987976, 0.987558, 0.986657, 0.986204]
[0.985959, 0.985813, 0.986429, 0.987208, 0.987545, 0.987103, 0.986174, 0.985718]
[0.985466, 0.985326, 0.985961, 0.986758, 0.987096, 0.986638, 0.985685, 0.985227]
[0.984964, 0.984831, 0.985484, 0.98629, 0.986625, 0.98615, 0.985183, 0.984725]
[0.984447, 0.984321, 0.984993, 0.985814, 0.986148, 0.985656, 0.984668, 0.984207]
[0.983925, 0.983807, 0.98449, 0.985319, 0.98565, 0.985146, 0.984146, 0.98369]
[0.983395, 0.983282, 0.983976, 0.984814, 0.985144, 0.984624, 0.983615, 0.98316]
[0.982849, 0.982734, 0.983438, 0.984289, 0.984626, 0.984101, 0.983071, 0.982608]
[0.982303, 0.982185, 0.982903, 0.983771, 0.984118, 0.983581, 0.982529, 0.982056]
[0.981756, 0.981629, 0.982357, 0.983241, 0.9836, 0.983057, 0.981987, 0.981497]
[0.981208, 0.981069, 0.981806, 0.982714, 0.983088, 0.982542, 0.981445, 0.980936]
[0.980652, 0.980499, 0.981245, 0.982175, 0.982564, 0.982017, 0.980893, 0.980363]
[0.980093, 0.979924, 0.98068, 0.981637, 0.98205, 0.981496, 0.980344, 0.979787]
[0.97951, 0.979324, 0.980086, 0.981061, 0.981489, 0.980936, 0.979766, 0.979186]
