[0.063091, 0.063149, 0.063135, 0.06317, 0.063344, 0.063258, 0.063242, 0.063116]
[0.063095, 0.063112, 0.063117, 0.063159, 0.063306, 0.063217, 0.063203, 0.063089]
[0.063092, 0.063081, 0.063096, 0.063161, 0.063287, 0.063209, 0.063179, 0.063078]
[0.063056, 0.063088, 0.063125, 0.063157, 0.063292, 0.063178, 0.063135, 0.063051]
[0.063057, 0.063099, 0.063116, 0.063135, 0.063261, 0.063142, 0.063116, 0.063056]
[0.063051, 0.063103, 0.063115, 0.063137, 0.063245, 0.063114, 0.063128, 0.063062]
[0.063053, 0.0631, 0.063103, 0.063111, 0.063233, 0.063128, 0.063124, 0.063062]
[0.063058, 0.063101, 0.063108, 0.063126, 0.063228, 0.06313, 0.063134, 0.06307]
[0.063058, 0.063108, 0.063109, 0.06311, 0.063227, 0.063109, 0.063122, 0.063078]
[0.063062, 0.063107, 0.063113, 0.063109, 0.063216, 0.063133, 0.063133, 0.06307]
[0.06306, 0.06311, 0.063117, 0.06312, 0.063226, 0.063121, 0.063128, 0.063069]
[0.063062, 0.063116, 0.063118, 0.063104, 0.063233, 0.06312, 0.063123, 0.063075]
[0.063067, 0.063109, 0.063115, 0.063116, 0.063226, 0.063129, 0.063144, 0.063081]
[0.063066, 0.06311, 0.063111, 0.063112, 0.063237, 0.063136, 0.063142, 0.06308]
[0.06306, 0.06311, 0.063123, 0.063119, 0.063229, 0.063128, 0.063129, 0.063085]
[0.063062, 0.063119, 0.063124, 0.063119, 0.063232, 0.063121, 0.063145, 0.063081]
[0.063062, 0.063108, 0.063123, 0.06312, 0.063234, 0.063125, 0.06314, 0.063078]
[0.063062, 0.06311, 0.063109, 0.063105, 0.063221, 0.063127, 0.063134, 0.063079]
[0.063065, 0.063112, 0.063109, 0.063111, 0.063232, 0.063122, 0.063133, 0.063083]
[0.063062, 0.063112, 0.063111, 0.063117, 0.063228, 0.063114, 0.063133, 0.06307]
[0.063061, 0.063111, 0.063109, 0.063118, 0.063222, 0.063119, 0.063129, 0.063067]
[0.063061, 0.063109, 0.063114, 0.063129, 0.063216, 0.063116, 0.063143, 0.063094]
[0.063058, 0.063096, 0.063116, 0.063123, 0.063243, 0.063127, 0.063133, 0.063083]
[0.063058, 0.063104, 0.0631, 0.063115, 0.063238, 0.063129, 0.063135, 0.063076]
[0.06306, 0.06311, 0.063108, 0.063117, 0.063223, 0.063124, 0.063135, 0.063073]
[0.06306, 0.063106, 0.063112, 0.063121, 0.06323, 0.063103, 0.063115, 0.063077]
[0.06306, 0.063109, 0.063117, 0.063127, 0.063234, 0.06312, 0.063139, 0.06307]
[0.063061, 0.063103, 0.06311, 0.06311, 0.063222, 0.063116, 0.063141, 0.063078]
[0.063065, 0.063101, 0.063108, 0.063117, 0.063225, 0.063121, 0.063153, 0.063078]
